21:15:50: Account aaa has been created.
20:12:36: aaa/Gileijah has began playing Eight Destinies.
00:28:08: aaa has logged in from 127.0.0.1.
00:28:09: aaa/Gileijah has began playing Eight Destinies.
00:29:16: aaa has logged in from 127.0.0.1.
00:29:17: aaa/Gileijah has began playing Eight Destinies.
00:30:24: aaa has logged in from 127.0.0.1.
00:30:25: aaa/Gileijah has began playing Eight Destinies.
00:30:38: aaa has logged in from 127.0.0.1.
00:30:39: aaa/Gileijah has began playing Eight Destinies.
00:30:54: aaa has logged in from 127.0.0.1.
00:30:55: aaa/Gileijah has began playing Eight Destinies.
00:41:00: aaa has logged in from 127.0.0.1.
00:41:01: aaa/Gileijah has began playing Eight Destinies.
00:53:48: aaa has logged in from 127.0.0.1.
00:53:49: aaa/Gileijah has began playing Eight Destinies.
00:57:56: aaa has logged in from 127.0.0.1.
00:57:57: aaa/Gileijah has began playing Eight Destinies.
00:59:13: aaa has logged in from 127.0.0.1.
00:59:14: aaa/Gileijah has began playing Eight Destinies.
01:00:44: aaa has logged in from 127.0.0.1.
01:00:45: aaa/Gileijah has began playing Eight Destinies.
01:14:04: aaa has logged in from 127.0.0.1.
01:14:05: aaa/Gileijah has began playing Eight Destinies.
01:36:02: aaa has logged in from 127.0.0.1.
01:36:03: aaa/Gileijah has began playing Eight Destinies.
01:38:46: aaa has logged in from 127.0.0.1.
01:38:48: aaa/Gileijah has began playing Eight Destinies.
01:40:20: aaa has logged in from 127.0.0.1.
01:40:21: aaa/Gileijah has began playing Eight Destinies.
01:41:56: aaa has logged in from 127.0.0.1.
01:41:57: aaa/Gileijah has began playing Eight Destinies.
01:44:35: aaa has logged in from 127.0.0.1.
01:44:36: aaa/Gileijah has began playing Eight Destinies.
01:48:15: aaa has logged in from 127.0.0.1.
01:48:17: aaa/Gileijah has began playing Eight Destinies.
01:50:05: aaa has logged in from 127.0.0.1.
01:50:06: aaa/Gileijah has began playing Eight Destinies.
01:51:01: aaa has logged in from 127.0.0.1.
01:51:02: aaa/Gileijah has began playing Eight Destinies.
01:53:20: aaa has logged in from 127.0.0.1.
01:53:21: aaa/Gileijah has began playing Eight Destinies.
02:06:29: aaa has logged in from 127.0.0.1.
02:06:30: aaa/Gileijah has began playing Eight Destinies.
02:08:14: aaa has logged in from 127.0.0.1.
02:08:15: aaa/Gileijah has began playing Eight Destinies.
02:14:44: aaa has logged in from 127.0.0.1.
02:14:45: aaa/Gileijah has began playing Eight Destinies.
02:32:44: aaa has logged in from 127.0.0.1.
02:32:50: aaa/Gileijah has began playing Eight Destinies.
02:37:38: aaa has logged in from 127.0.0.1.
02:37:39: aaa/Gileijah has began playing Eight Destinies.
02:38:01: aaa has logged in from 127.0.0.1.
02:38:03: aaa/Gileijah has began playing Eight Destinies.
02:38:23: aaa has logged in from 127.0.0.1.
02:38:25: aaa/Gileijah has began playing Eight Destinies.
02:39:06: aaa has logged in from 127.0.0.1.
02:39:07: aaa/Gileijah has began playing Eight Destinies.
02:40:05: aaa has logged in from 127.0.0.1.
02:40:06: aaa/Gileijah has began playing Eight Destinies.
03:07:13: aaa has logged in from 127.0.0.1.
03:07:14: aaa/Gileijah has began playing Eight Destinies.
03:15:56: aaa has logged in from 127.0.0.1.
03:15:56: aaa/Gileijah has began playing Eight Destinies.
03:17:27: aaa has logged in from 127.0.0.1.
03:17:28: aaa/Gileijah has began playing Eight Destinies.
03:20:04: aaa has logged in from 127.0.0.1.
03:21:30: aaa has logged in from 127.0.0.1.
03:21:31: aaa/Gileijah has began playing Eight Destinies.
03:22:44: aaa has logged in from 127.0.0.1.
03:22:46: aaa/Gileijah has began playing Eight Destinies.
03:26:02: aaa has logged in from 127.0.0.1.
03:26:03: aaa/Gileijah has began playing Eight Destinies.
03:27:48: aaa has logged in from 127.0.0.1.
03:27:49: aaa/Gileijah has began playing Eight Destinies.
03:30:49: aaa has logged in from 127.0.0.1.
03:30:50: aaa/Gileijah has began playing Eight Destinies.
03:36:24: aaa has logged in from 127.0.0.1.
03:36:25: aaa/Gileijah has began playing Eight Destinies.
03:40:00: aaa has logged in from 127.0.0.1.
03:40:01: aaa/Gileijah has began playing Eight Destinies.
03:41:19: aaa has logged in from 127.0.0.1.
03:41:21: aaa/Gileijah has began playing Eight Destinies.
03:44:12: aaa has logged in from 127.0.0.1.
03:44:13: aaa/Gileijah has began playing Eight Destinies.
03:50:56: aaa has logged in from 127.0.0.1.
03:50:57: aaa/Gileijah has began playing Eight Destinies.
03:57:21: aaa has logged in from 127.0.0.1.
03:57:28: aaa/Gileijah has began playing Eight Destinies.
04:06:58: aaa has logged in from 127.0.0.1.
04:06:59: aaa/Gileijah has began playing Eight Destinies.
04:14:09: aaa has logged in from 127.0.0.1.
04:14:10: aaa/Gileijah has began playing Eight Destinies.
04:14:52: aaa has logged in from 127.0.0.1.
04:14:55: aaa/Gileijah has began playing Eight Destinies.
04:15:32: aaa has logged in from 127.0.0.1.
04:15:33: aaa/Gileijah has began playing Eight Destinies.
04:15:53: aaa has logged in from 127.0.0.1.
04:15:54: aaa/Gileijah has began playing Eight Destinies.
04:17:34: aaa has logged in from 127.0.0.1.
04:17:35: aaa/Gileijah has began playing Eight Destinies.
04:19:47: aaa has logged in from 127.0.0.1.
04:19:48: aaa/Gileijah has began playing Eight Destinies.
04:20:33: aaa has logged in from 127.0.0.1.
04:20:34: aaa/Gileijah has began playing Eight Destinies.
04:21:05: aaa has logged in from 127.0.0.1.
04:21:07: aaa/Gileijah has began playing Eight Destinies.
04:21:38: aaa has logged in from 127.0.0.1.
04:21:39: aaa/Gileijah has began playing Eight Destinies.
04:24:34: aaa has logged in from 127.0.0.1.
04:24:35: aaa/Gileijah has began playing Eight Destinies.
04:25:07: aaa has logged in from 127.0.0.1.
04:25:08: aaa/Gileijah has began playing Eight Destinies.
04:25:35: aaa has logged in from 127.0.0.1.
04:25:36: aaa/Gileijah has began playing Eight Destinies.
04:27:35: aaa has logged in from 127.0.0.1.
04:27:37: aaa/Gileijah has began playing Eight Destinies.
04:28:48: aaa has logged in from 127.0.0.1.
04:28:49: aaa/Gileijah has began playing Eight Destinies.
17:34:45: aaa has logged in from 127.0.0.1.
17:34:46: aaa/Gileijah has began playing Eight Destinies.
17:36:25: aaa has logged in from 127.0.0.1.
17:36:26: aaa/Gileijah has began playing Eight Destinies.
17:50:23: aaa has logged in from 127.0.0.1.
17:50:24: aaa/Gileijah has began playing Eight Destinies.
17:57:33: aaa has logged in from 127.0.0.1.
17:57:34: aaa/Gileijah has began playing Eight Destinies.
18:20:55: aaa has logged in from 127.0.0.1.
18:20:56: aaa/Gileijah has began playing Eight Destinies.
18:49:16: aaa has logged in from 127.0.0.1.
18:49:18: aaa/Gileijah has began playing Eight Destinies.
21:35:21: aaa has logged in from 127.0.0.1.
21:35:22: aaa/Gileijah has began playing Eight Destinies.
21:36:14: aaa has logged in from 127.0.0.1.
21:36:15: aaa/Gileijah has began playing Eight Destinies.
21:42:11: aaa has logged in from 127.0.0.1.
21:42:12: aaa/Gileijah has began playing Eight Destinies.
21:43:02: aaa has logged in from 127.0.0.1.
21:43:03: aaa/Gileijah has began playing Eight Destinies.
21:46:51: aaa has logged in from 127.0.0.1.
21:46:52: aaa/Gileijah has began playing Eight Destinies.
21:52:18: aaa has logged in from 127.0.0.1.
21:52:19: aaa/Gileijah has began playing Eight Destinies.
21:53:05: aaa has logged in from 127.0.0.1.
21:53:06: aaa/Gileijah has began playing Eight Destinies.
22:08:04: aaa has logged in from 127.0.0.1.
22:08:05: aaa/Gileijah has began playing Eight Destinies.
22:18:37: aaa has logged in from 127.0.0.1.
22:18:39: aaa/Gileijah has began playing Eight Destinies.
22:20:41: aaa has logged in from 127.0.0.1.
22:20:42: aaa/Gileijah has began playing Eight Destinies.
22:24:27: aaa has logged in from 127.0.0.1.
22:24:29: aaa/Gileijah has began playing Eight Destinies.
22:26:45: aaa has logged in from 127.0.0.1.
22:26:46: aaa/Gileijah has began playing Eight Destinies.
22:28:00: aaa has logged in from 127.0.0.1.
22:28:01: aaa/Gileijah has began playing Eight Destinies.
22:34:30: aaa has logged in from 127.0.0.1.
22:34:31: aaa/Gileijah has began playing Eight Destinies.
22:36:51: aaa has logged in from 127.0.0.1.
22:36:52: aaa/Gileijah has began playing Eight Destinies.
03:11:30: aaa has logged in from 127.0.0.1.
03:11:31: aaa/Gileijah has began playing Eight Destinies.
03:15:00: aaa has logged in from 127.0.0.1.
03:15:01: aaa/Gileijah has began playing Eight Destinies.
03:19:10: aaa has logged in from 127.0.0.1.
03:19:11: aaa/Gileijah has began playing Eight Destinies.
03:20:04: aaa has logged in from 127.0.0.1.
03:20:05: aaa/Gileijah has began playing Eight Destinies.
03:21:40: aaa has logged in from 127.0.0.1.
03:21:40: aaa/Gileijah has began playing Eight Destinies.
03:22:42: aaa has logged in from 127.0.0.1.
03:22:44: aaa/Gileijah has began playing Eight Destinies.
16:33:58: aaa has logged in from 127.0.0.1.
16:34:00: aaa/Gileijah has began playing Eight Destinies.
16:46:52: aaa has logged in from 127.0.0.1.
16:46:53: aaa/Gileijah has began playing Eight Destinies.
17:42:43: aaa has logged in from 127.0.0.1.
17:42:44: aaa/Gileijah has began playing Eight Destinies.
17:47:48: aaa has logged in from 127.0.0.1.
17:47:54: aaa/Gileijah has began playing Eight Destinies.
17:51:02: aaa has logged in from 127.0.0.1.
17:51:03: aaa/Gileijah has began playing Eight Destinies.
17:52:09: aaa has logged in from 127.0.0.1.
17:52:10: aaa/Gileijah has began playing Eight Destinies.
15:58:30: aaa has logged in from 127.0.0.1.
15:58:31: aaa/Gileijah has began playing Eight Destinies.
15:59:24: aaa has logged in from 127.0.0.1.
15:59:25: aaa/Gileijah has began playing Eight Destinies.
16:00:49: aaa has logged in from 127.0.0.1.
16:00:50: aaa/Gileijah has began playing Eight Destinies.
16:01:35: aaa has logged in from 127.0.0.1.
16:01:37: aaa/Gileijah has began playing Eight Destinies.
16:01:55: aaa has logged in from 127.0.0.1.
16:01:56: aaa/Gileijah has began playing Eight Destinies.
16:02:09: aaa has logged in from 127.0.0.1.
16:02:10: aaa/Gileijah has began playing Eight Destinies.
16:03:18: aaa has logged in from 127.0.0.1.
16:03:20: aaa/Gileijah has began playing Eight Destinies.
16:04:25: aaa has logged in from 127.0.0.1.
16:04:25: aaa/Gileijah has began playing Eight Destinies.
16:04:39: aaa has logged in from 127.0.0.1.
16:04:40: aaa/Gileijah has began playing Eight Destinies.
16:05:00: aaa has logged in from 127.0.0.1.
16:05:01: aaa/Gileijah has began playing Eight Destinies.
16:05:35: aaa has logged in from 127.0.0.1.
16:05:36: aaa/Gileijah has began playing Eight Destinies.
16:07:42: aaa has logged in from 127.0.0.1.
16:07:43: aaa/Gileijah has began playing Eight Destinies.
16:09:16: aaa has logged in from 127.0.0.1.
16:09:17: aaa/Gileijah has began playing Eight Destinies.
16:11:52: aaa has logged in from 127.0.0.1.
16:11:53: aaa/Gileijah has began playing Eight Destinies.
16:12:29: aaa has logged in from 127.0.0.1.
16:12:30: aaa/Gileijah has began playing Eight Destinies.
16:13:47: aaa has logged in from 127.0.0.1.
16:13:48: aaa/Gileijah has began playing Eight Destinies.
16:14:14: aaa has logged in from 127.0.0.1.
16:14:15: aaa/Gileijah has began playing Eight Destinies.
16:14:25: aaa has logged in from 127.0.0.1.
16:14:27: aaa/Gileijah has began playing Eight Destinies.
16:14:34: aaa has logged in from 127.0.0.1.
16:14:35: aaa/Gileijah has began playing Eight Destinies.
16:16:25: aaa has logged in from 127.0.0.1.
16:16:26: aaa/Gileijah has began playing Eight Destinies.
16:16:52: aaa has logged in from 127.0.0.1.
16:16:53: aaa/Gileijah has began playing Eight Destinies.
16:17:16: aaa has logged in from 127.0.0.1.
16:17:17: aaa/Gileijah has began playing Eight Destinies.
16:17:51: aaa has logged in from 127.0.0.1.
16:17:52: aaa/Gileijah has began playing Eight Destinies.
16:25:49: aaa has logged in from 127.0.0.1.
16:25:50: aaa/Gileijah has began playing Eight Destinies.
16:26:15: aaa has logged in from 127.0.0.1.
16:26:16: aaa/Gileijah has began playing Eight Destinies.
16:27:09: aaa has logged in from 127.0.0.1.
16:27:10: aaa/Gileijah has began playing Eight Destinies.
16:27:20: aaa has logged in from 127.0.0.1.
16:27:21: aaa/Gileijah has began playing Eight Destinies.
16:28:09: aaa has logged in from 127.0.0.1.
16:28:10: aaa/Gileijah has began playing Eight Destinies.
16:28:25: aaa has logged in from 127.0.0.1.
16:28:26: aaa/Gileijah has began playing Eight Destinies.
16:32:41: aaa has logged in from 127.0.0.1.
16:32:42: aaa/Gileijah has began playing Eight Destinies.
16:33:14: aaa has logged in from 127.0.0.1.
16:33:16: aaa/Gileijah has began playing Eight Destinies.
16:35:54: aaa has logged in from 127.0.0.1.
16:35:55: aaa/Gileijah has began playing Eight Destinies.
16:36:11: aaa has logged in from 127.0.0.1.
16:36:13: aaa/Gileijah has began playing Eight Destinies.
16:37:04: aaa has logged in from 127.0.0.1.
16:37:05: aaa/Gileijah has began playing Eight Destinies.
16:39:04: aaa has logged in from 127.0.0.1.
16:39:05: aaa/Gileijah has began playing Eight Destinies.
16:41:21: aaa has logged in from 127.0.0.1.
16:41:23: aaa/Gileijah has began playing Eight Destinies.
16:52:50: aaa has logged in from 127.0.0.1.
16:52:52: aaa/Gileijah has began playing Eight Destinies.
16:54:51: aaa has logged in from 127.0.0.1.
16:54:52: aaa/Gileijah has began playing Eight Destinies.
16:56:40: aaa has logged in from 127.0.0.1.
16:56:42: aaa/Gileijah has began playing Eight Destinies.
17:02:33: aaa has logged in from 127.0.0.1.
17:02:34: aaa/Gileijah has began playing Eight Destinies.
17:18:57: aaa has logged in from 127.0.0.1.
17:18:58: aaa/Gileijah has began playing Eight Destinies.
17:24:28: aaa has logged in from 127.0.0.1.
17:24:29: aaa/Gileijah has began playing Eight Destinies.
17:38:33: aaa has logged in from 127.0.0.1.
17:38:34: aaa/Gileijah has began playing Eight Destinies.
17:44:27: aaa has logged in from 127.0.0.1.
17:44:28: aaa/Gileijah has began playing Eight Destinies.
17:55:59: aaa has logged in from 127.0.0.1.
17:56:05: aaa/Gileijah has began playing Eight Destinies.
17:59:55: aaa has logged in from 127.0.0.1.
17:59:56: aaa/Gileijah has began playing Eight Destinies.
18:05:04: aaa has logged in from 127.0.0.1.
18:05:05: aaa/Gileijah has began playing Eight Destinies.
18:06:00: aaa has logged in from 127.0.0.1.
18:06:01: aaa/Gileijah has began playing Eight Destinies.
18:06:28: aaa has logged in from 127.0.0.1.
18:06:29: aaa/Gileijah has began playing Eight Destinies.
16:15:40: aaa has logged in from 127.0.0.1.
16:15:42: aaa/Gileijah has began playing Eight Destinies.
16:19:08: aaa has logged in from 127.0.0.1.
16:19:10: aaa/Gileijah has began playing Eight Destinies.
16:20:36: aaa has logged in from 127.0.0.1.
16:20:37: aaa/Gileijah has began playing Eight Destinies.
16:20:56: aaa has logged in from 127.0.0.1.
16:21:05: Character ghf added to aaa's account.
16:21:09: aaa/ghf has began playing Eight Destinies.
16:23:14: aaa has logged in from 127.0.0.1.
16:23:17: aaa/Gileijah has began playing Eight Destinies.
16:25:15: aaa has logged in from 127.0.0.1.
16:25:16: aaa/Gileijah has began playing Eight Destinies.
16:27:10: aaa has logged in from 127.0.0.1.
16:27:12: aaa/Gileijah has began playing Eight Destinies.
16:28:45: Account aaa has been created.
16:28:47: aaa has logged in from 127.0.0.1.
16:28:55: Character dfdfs added to aaa's account.
16:28:57: aaa/dfdfs has began playing Eight Destinies.
16:29:49: aaa has logged in from 127.0.0.1.
16:29:51: aaa/dfdfs has began playing Eight Destinies.
16:32:08: aaa has logged in from 127.0.0.1.
16:32:10: aaa/dfdfs has began playing Eight Destinies.
16:35:51: aaa has logged in from 127.0.0.1.
16:35:52: aaa/dfdfs has began playing Eight Destinies.
16:37:42: aaa has logged in from 127.0.0.1.
16:37:44: aaa/Gileijah has began playing Eight Destinies.
16:42:03: aaa has logged in from 127.0.0.1.
16:42:05: aaa/Gileijah has began playing Eight Destinies.
16:50:52: aaa has logged in from 127.0.0.1.
16:50:53: aaa/Gileijah has began playing Eight Destinies.
16:51:28: aaa has logged in from 127.0.0.1.
16:51:30: aaa/Gileijah has began playing Eight Destinies.
16:52:08: aaa has logged in from 127.0.0.1.
16:52:09: aaa/Gileijah has began playing Eight Destinies.
16:52:20: aaa has logged in from 127.0.0.1.
16:52:21: aaa/Gileijah has began playing Eight Destinies.
17:19:17: aaa has logged in from 127.0.0.1.
17:19:18: aaa/Gileijah has began playing Eight Destinies.
17:19:56: aaa has logged in from 127.0.0.1.
17:19:57: aaa/Gileijah has began playing Eight Destinies.
21:18:34: aaa has logged in from 127.0.0.1.
21:18:36: aaa/Gileijah has began playing Eight Destinies.
23:45:30: aaa has logged in from 127.0.0.1.
23:45:33: aaa/Gileijah has began playing Eight Destinies.
00:38:43: aaa has logged in from 127.0.0.1.
00:38:46: aaa/Gileijah has began playing Eight Destinies.
00:39:51: aaa has logged in from 127.0.0.1.
00:39:53: aaa/Gileijah has began playing Eight Destinies.
01:06:14: aaa has logged in from 127.0.0.1.
01:06:15: aaa/Gileijah has began playing Eight Destinies.
01:22:14: aaa has logged in from 127.0.0.1.
01:22:16: aaa/Gileijah has began playing Eight Destinies.
01:28:10: aaa has logged in from 127.0.0.1.
01:28:13: aaa/Gileijah has began playing Eight Destinies.
01:29:02: aaa has logged in from 127.0.0.1.
01:29:04: aaa/Gileijah has began playing Eight Destinies.
01:30:11: aaa has logged in from 127.0.0.1.
01:30:20: aaa/Gileijah has began playing Eight Destinies.
01:34:43: aaa has logged in from 127.0.0.1.
01:34:44: aaa/Gileijah has began playing Eight Destinies.
01:37:12: aaa has logged in from 127.0.0.1.
01:37:13: aaa/Gileijah has began playing Eight Destinies.
01:48:28: aaa has logged in from 127.0.0.1.
01:48:29: aaa/Gileijah has began playing Eight Destinies.
01:52:20: aaa has logged in from 127.0.0.1.
01:52:21: aaa/Gileijah has began playing Eight Destinies.
01:57:47: aaa has logged in from 127.0.0.1.
01:57:48: aaa/Gileijah has began playing Eight Destinies.
02:13:22: aaa has logged in from 127.0.0.1.
02:13:23: aaa/Gileijah has began playing Eight Destinies.
02:14:20: aaa has logged in from 127.0.0.1.
02:14:21: aaa/Gileijah has began playing Eight Destinies.
02:14:34: aaa has logged in from 127.0.0.1.
02:14:35: aaa/Gileijah has began playing Eight Destinies.
02:15:16: aaa has logged in from 127.0.0.1.
02:17:29: aaa has logged in from 127.0.0.1.
02:17:49: aaa has logged in from 127.0.0.1.
02:27:36: aaa has logged in from 127.0.0.1.
02:27:38: aaa/Gileijah has began playing Eight Destinies.
03:05:48: aaa has logged in from 127.0.0.1.
03:05:49: aaa/Gileijah has began playing Eight Destinies.
03:07:45: aaa has logged in from 127.0.0.1.
03:07:46: aaa/Gileijah has began playing Eight Destinies.
03:08:15: aaa has logged in from 127.0.0.1.
03:08:17: aaa/Gileijah has began playing Eight Destinies.
03:10:14: aaa has logged in from 127.0.0.1.
03:10:16: aaa/Gileijah has began playing Eight Destinies.
03:22:10: aaa has logged in from 127.0.0.1.
03:22:11: aaa/Gileijah has began playing Eight Destinies.
03:25:14: aaa has logged in from 127.0.0.1.
03:25:15: aaa/Gileijah has began playing Eight Destinies.
03:27:10: aaa has logged in from 127.0.0.1.
03:27:11: aaa/Gileijah has began playing Eight Destinies.
17:00:03: aaa has logged in from 127.0.0.1.
17:00:08: aaa/Gileijah has began playing Eight Destinies.
17:02:09: aaa has logged in from 127.0.0.1.
17:02:10: aaa/Gileijah has began playing Eight Destinies.
17:03:49: aaa has logged in from 127.0.0.1.
17:03:51: aaa/Gileijah has began playing Eight Destinies.
17:18:35: aaa has logged in from 127.0.0.1.
17:18:38: aaa/Gileijah has began playing Eight Destinies.
17:21:53: aaa has logged in from 127.0.0.1.
17:21:54: aaa/Gileijah has began playing Eight Destinies.
17:26:49: aaa has logged in from 127.0.0.1.
17:26:51: aaa/Gileijah has began playing Eight Destinies.
17:41:37: aaa has logged in from 127.0.0.1.
17:41:38: aaa/Gileijah has began playing Eight Destinies.
01:02:08: aaa has logged in from 127.0.0.1.
01:02:10: aaa/Gileijah has began playing Eight Destinies.
01:04:26: aaa has logged in from 127.0.0.1.
01:04:28: aaa/Gileijah has began playing Eight Destinies.
01:08:16: aaa has logged in from 127.0.0.1.
01:08:18: aaa/Gileijah has began playing Eight Destinies.
01:19:06: aaa has logged in from 127.0.0.1.
01:19:09: aaa/Gileijah has began playing Eight Destinies.
03:04:48: aaa has logged in from 127.0.0.1.
03:05:00: Character fdfdsf added to aaa's account.
03:05:04: aaa/ghf has began playing Eight Destinies.
20:01:22: aaa has logged in from 127.0.0.1.
20:01:25: aaa/Gileijah has began playing Eight Destinies.
21:21:40: aaa has logged in from 127.0.0.1.
21:21:41: aaa/Gileijah has began playing Eight Destinies.
21:22:17: aaa has logged in from 127.0.0.1.
21:22:19: aaa/Gileijah has began playing Eight Destinies.
21:40:08: aaa has logged in from 127.0.0.1.
21:40:13: aaa/Gileijah has began playing Eight Destinies.
21:41:01: aaa has logged in from 127.0.0.1.
21:41:02: aaa/Gileijah has began playing Eight Destinies.
21:44:28: Account aaa has been created.
21:44:32: aaa has logged in from 127.0.0.1.
21:45:02: Character DEV Gileijah added to aaa's account.
21:45:05: aaa/DEV Gileijah has began playing Eight Destinies.
21:53:17: aaa has logged in from 127.0.0.1.
21:53:18: aaa/DEV Gileijah has began playing Eight Destinies.
22:00:15: aaa has logged in from 127.0.0.1.
22:00:16: aaa/DEV Gileijah has began playing Eight Destinies.
22:00:36: aaa has logged in from 127.0.0.1.
22:00:37: aaa/DEV Gileijah has began playing Eight Destinies.
22:01:49: aaa has logged in from 127.0.0.1.
22:01:50: aaa/DEV Gileijah has began playing Eight Destinies.
22:02:19: aaa has logged in from 127.0.0.1.
22:02:20: aaa/DEV Gileijah has began playing Eight Destinies.
22:03:21: aaa has logged in from 127.0.0.1.
22:03:22: aaa/DEV Gileijah has began playing Eight Destinies.
22:03:49: aaa has logged in from 127.0.0.1.
22:03:50: aaa/DEV Gileijah has began playing Eight Destinies.
22:04:44: aaa has logged in from 127.0.0.1.
22:04:45: aaa/DEV Gileijah has began playing Eight Destinies.
22:05:10: aaa has logged in from 127.0.0.1.
22:05:12: aaa/DEV Gileijah has began playing Eight Destinies.
22:05:30: aaa has logged in from 127.0.0.1.
22:05:32: aaa/DEV Gileijah has began playing Eight Destinies.
22:05:54: aaa has logged in from 127.0.0.1.
22:05:55: aaa/DEV Gileijah has began playing Eight Destinies.
22:06:07: aaa has logged in from 127.0.0.1.
22:06:08: aaa/DEV Gileijah has began playing Eight Destinies.
22:08:07: aaa has logged in from 127.0.0.1.
22:08:08: aaa/DEV Gileijah has began playing Eight Destinies.
22:10:34: DEV Gileijah:  Set font
22:12:37: Map #2: DEV Gileijah : ++++-*//
22:34:33: aaa has logged in from 127.0.0.1.
22:34:34: aaa/DEV Gileijah has began playing Eight Destinies.
22:41:52: aaa has logged in from 127.0.0.1.
22:41:53: aaa/DEV Gileijah has began playing Eight Destinies.
22:45:26: aaa has logged in from 127.0.0.1.
22:45:27: aaa/DEV Gileijah has began playing Eight Destinies.
22:56:15: aaa has logged in from 127.0.0.1.
22:56:16: aaa/DEV Gileijah has began playing Eight Destinies.
22:59:29: Account barnvisor has been created.
22:59:29: barnvisor has logged in from 85.226.178.40.
23:00:48: barnvisor has logged in from 85.226.178.40.
23:03:06: Character dran added to barnvisor's account.
23:03:07: barnvisor has logged in from 85.226.178.40.
23:03:12: barnvisor has logged in from 85.226.178.40.
23:03:22: barnvisor/dran has began playing Eight Destinies.
23:10:38: Map #2: DEV Gileijah : ythyyrty
23:17:58: aaa has logged in from 127.0.0.1.
23:17:59: aaa/DEV Gileijah has began playing Eight Destinies.
23:19:23: barnvisor has logged in from 85.226.178.40.
23:19:30: barnvisor/dran has began playing Eight Destinies.
23:41:27: aaa has logged in from 127.0.0.1.
23:41:28: aaa/DEV Gileijah has began playing Eight Destinies.
23:41:44: barnvisor has logged in from 85.226.178.40.
23:41:51: barnvisor/dran has began playing Eight Destinies.
23:42:34: aaa has logged in from 127.0.0.1.
23:42:38: aaa/DEV Gileijah has began playing Eight Destinies.
23:42:50: barnvisor has logged in from 85.226.178.40.
23:42:57: barnvisor/dran has began playing Eight Destinies.
23:45:15: aaa has logged in from 127.0.0.1.
23:45:16: aaa/DEV Gileijah has began playing Eight Destinies.
23:49:31: aaa has logged in from 127.0.0.1.
23:49:33: aaa/DEV Gileijah has began playing Eight Destinies.
23:49:44: barnvisor has logged in from 85.226.178.40.
23:49:46: barnvisor/dran has began playing Eight Destinies.
23:53:05: aaa has logged in from 127.0.0.1.
23:53:09: aaa/DEV Gileijah has began playing Eight Destinies.
23:56:50: aaa has logged in from 127.0.0.1.
23:56:51: aaa/DEV Gileijah has began playing Eight Destinies.
23:57:00: barnvisor has logged in from 85.226.178.40.
23:57:03: barnvisor/dran has began playing Eight Destinies.
23:58:05: aaa has logged in from 127.0.0.1.
23:58:06: aaa/DEV Gileijah has began playing Eight Destinies.
23:58:16: barnvisor has logged in from 85.226.178.40.
23:58:25: barnvisor/dran has began playing Eight Destinies.
23:59:17: aaa has logged in from 127.0.0.1.
23:59:18: aaa/DEV Gileijah has began playing Eight Destinies.
00:01:03: aaa has logged in from 127.0.0.1.
00:01:06: aaa/DEV Gileijah has began playing Eight Destinies.
00:01:16: barnvisor has logged in from 85.226.178.40.
00:01:20: barnvisor/dran has began playing Eight Destinies.
00:02:18: barnvisor has logged in from 85.226.178.40.
00:02:27: barnvisor/dran has began playing Eight Destinies.
00:04:57: aaa has logged in from 127.0.0.1.
00:04:58: aaa/DEV Gileijah has began playing Eight Destinies.
00:05:06: barnvisor has logged in from 85.226.178.40.
00:05:08: barnvisor/dran has began playing Eight Destinies.
00:06:13: aaa has logged in from 127.0.0.1.
00:06:14: aaa/DEV Gileijah has began playing Eight Destinies.
00:06:22: barnvisor has logged in from 85.226.178.40.
00:06:23: barnvisor/dran has began playing Eight Destinies.
00:07:42: aaa has logged in from 127.0.0.1.
00:07:43: aaa/DEV Gileijah has began playing Eight Destinies.
00:07:49: barnvisor has logged in from 85.226.178.40.
00:07:51: barnvisor/dran has began playing Eight Destinies.
00:15:19: aaa has logged in from 127.0.0.1.
00:15:20: aaa/DEV Gileijah has began playing Eight Destinies.
00:15:26: barnvisor has logged in from 85.226.178.40.
00:15:28: barnvisor/dran has began playing Eight Destinies.
00:17:32: barnvisor has logged in from 85.226.178.40.
00:17:34: barnvisor/dran has began playing Eight Destinies.
00:17:43: aaa has logged in from 127.0.0.1.
00:17:44: aaa/DEV Gileijah has began playing Eight Destinies.
00:18:27: aaa has logged in from 127.0.0.1.
00:18:28: aaa/DEV Gileijah has began playing Eight Destinies.
00:18:36: barnvisor has logged in from 85.226.178.40.
00:18:38: barnvisor/dran has began playing Eight Destinies.
00:25:22: aaa has logged in from 127.0.0.1.
00:25:23: aaa/DEV Gileijah has began playing Eight Destinies.
00:25:29: barnvisor has logged in from 85.226.178.40.
00:25:32: barnvisor/dran has began playing Eight Destinies.
00:30:30: aaa has logged in from 127.0.0.1.
00:30:32: aaa/DEV Gileijah has began playing Eight Destinies.
00:30:39: barnvisor has logged in from 85.226.178.40.
00:30:41: barnvisor/dran has began playing Eight Destinies.
00:40:13: aaa has logged in from 127.0.0.1.
00:40:15: aaa/DEV Gileijah has began playing Eight Destinies.
00:40:23: barnvisor has logged in from 85.226.178.40.
00:40:25: barnvisor/dran has began playing Eight Destinies.
00:47:35: aaa has logged in from 127.0.0.1.
00:47:36: aaa/DEV Gileijah has began playing Eight Destinies.
00:47:53: barnvisor has logged in from 85.226.178.40.
00:47:56: barnvisor/dran has began playing Eight Destinies.
